Product ID,Product Name,Brand,Description
101,Shetland Washable Wool Cardigan,Pendleton,"The buyer enjoys reading, spends time at libraries, dresses in preppy clothing, and lives in a suburban setting."
102,Moda 20L Backpack,Cotopaxi,"The buyer enjoys traveling, likes hiking or camping, spends time at outdoor concerts, dresses in outdoorsy clothing, and lives in a rural setting."
103,High-Waist Biker Short,Alo Yoga,"The buyer enjoys yoga, likes cycling or running, spends time at the gym, dresses in sporty clothing, and lives in an urban setting."
104,Dark Olive Stretch Woven Jumpsuit,Girlfriend Collective,"The buyer enjoys art, likes yoga, spends time at coffee shops, dresses in trendy clothing, and lives in an urban setting."
105,Handmade Leather Scorecard Holder,Bluegrass Fairway,"The buyer enjoys reading, likes golfing, spends time at libraries, dresses in preppy clothing, and lives in a suburban setting."
106,Dale Tee,johnnie-O,"The buyer enjoys traveling, likes golfing or fishing, spends time at the beach, dresses in preppy clothing, and lives in a suburban setting."
107,Frankie Linen Top,Faherty,"The buyer enjoys art, spends time at the beach, dresses in bohemian clothing, and lives in a suburban setting."
108,For The Record Cardigan Sweater,RVCA,"The buyer enjoys music, spends time at concerts, dresses in streetwear, and lives in an urban setting."
109,6” Buoy Ankle Deck Boot,XTRATUF,"The buyer enjoys fishing, spends time at the beach, dresses in outdoorsy clothing, and lives in a rural setting."
110,Cloud Shell Bomber Jacket,tentree,"The buyer enjoys gardening, likes hiking, spends time outdoors, dresses in outdoorsy clothing, and lives in a rural setting."
111,Geneva Midi Dress,MINKPINK,"The buyer enjoys traveling, spends time at the beach, dresses in trendy clothing, and lives in a suburban setting."
112,Mini Money Tree,Bloomscape,"The buyer enjoys gardening, dresses in loungewear, and lives in an urban setting."
113,City Sweat Jogger Tall,Lululemon,"The buyer enjoys yoga, likes running, spends time at the gym, dresses in sporty clothing, and lives in an urban setting."
114,The Tropez Terry Cloth Bucket Hat,Dandy Del Mar,"The buyer enjoys traveling, likes swimming, spends time at the beach, dresses in trendy clothing, and lives in an urban setting."
115,Sportsman's Shirt,Filson,"The buyer enjoys hunting, likes fishing or camping, spends time outdoors, dresses in outdoorsy clothing, and lives in a rural setting."
116,Strawberry Luna Tank,Obey,"The buyer enjoys art, spends time at concerts, dresses in streetwear, and lives in an urban setting."
117,Diablo Flannel,Roark,"The buyer enjoys camping, spends time outdoors, dresses in outdoorsy clothing, and lives in a rural setting."
118,Stacked Camo Boardshort,Salty Crew,"The buyer enjoys swimming, spends time at the beach, dresses in sporty clothing, and lives in a suburban setting."
119,Stone - Essential Oil Diffuser,Vitruvi,"The buyer enjoys making coffee, spends time at coffee shops, dresses in trendy clothing, and lives in an urban setting."
120,Spectrum Jogger,Western Rise,"The buyer enjoys yoga, likes running, spends time at the gym, dresses in sporty clothing, and lives in an urban setting."
121,Black Hole Wheeled Duffel Bag 40L,Patagonia,"The buyer enjoys traveling, likes hiking or camping, spends time outdoors, dresses in outdoorsy clothing, and lives in a suburban setting."
122,Travel Backpack 45l,Peak Design,"The buyer enjoys traveling, likes hiking or climbing, dresses in outdoorsy clothing, and lives in an urban setting."
123,Anchor Wine Bag,Sea Bags,"The buyer enjoys drinking, spends time at the beach or bar, dresses in trendy clothing, and lives in an urban setting."
124,Toiletry Bag,July,"The buyer enjoys traveling, dresses in business clothing, and lives in an urban setting."
125,Megafleece Sweatshirt,Outdoor Voices,"The buyer enjoys hiking, likes lifting, spends time at the gym, dresses in sporty clothing, and lives in an urban setting."
126,Proton LT Hoody,Arcteryx,"The buyer enjoys hiking or climbing, dresses in outdoorsy clothing, and lives in an urban setting."
127,Fold-Up Bag,Paravel,"The buyer enjoys traveling, dresses in trendy clothing, and lives in an urban setting."
128,Trails Cord Short,Katin,"The buyer enjoys swimming, spends time at the beach, dresses in sporty clothing, and lives in a suburban setting."
129,The Blazer Adventure Cap,Coal,"The buyer enjoys camping, spends time outdoors, dresses in outdoorsy clothing, and lives in a rural setting."
130,Saddle Hem Pocket Tee,Marine Layer,"The buyer enjoys reading, spends time at the library, dresses in loungewear, and lives in a suburban setting."
131,Blanket Shirt Dress,Outerknown,"The buyer enjoys art, spends time at the beach, dresses in bohemian clothing, and lives in a suburban setting."
132,Pro Issue Waterpoof Binoculars,Nocs Provisions,"The buyer enjoys hiking or hunting, spends time outdoors, dresses in outdoorsy clothing, and lives in a rural setting."
133,Perfect Pot,Our Place,"The buyer enjoys cooking, spends time at coffee shops, dresses in trendy clothing, and lives in an urban setting."
134,Haven Beach Towel,Slowtide,"The buyer enjoys swimming, spends time at the beach, dresses in sporty clothing, and lives in a suburban setting."
135,Commuter Pant Slim,Rhone,"The buyer enjoys yoga, likes cycling, spends time at the gym, dresses in sporty clothing, and lives in an urban setting."
136,Sofia Patchwork Print,Bridge & Burn,"The buyer enjoys art, spends time at coffee shops, dresses in bohemian clothing, and lives in an urban setting."
137,Mallory Tank Top,Joie,"The buyer enjoys reading, spends time at the library, dresses in business clothing, and lives in a suburban setting."
138,Alision Dress,Lily Pulitzer,"The buyer enjoys traveling, spends time at the beach, dresses in preppy clothing, and lives in a suburban setting."
139,Minimalist National Park Playing Cards,Parks Project,"The buyer enjoys games, likes camping, dresses in outdoorsy clothing, and lives in a rural setting."
140,The Outsider,Kuhl,"The buyer enjoys hiking, likes climbing or camping, spends time outdoors, dresses in outdoorsy clothing, and lives in a rural setting."
